RESPNO,REGION,URBRUR,Q1,Q6A,Q6B,Q6C,Q6E,Q94,Q93A,Q100,Q90A,Q90B,Q90C,Q90D,Q90E,Q90F,food_insecurity_label,location_type,is_food_insecure
GHA1636,260.0,1.0,28.0,3.0,3.0,2.0,4.0,5.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,Many times,Urban,1
GHA1637,264.0,2.0,60.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,0.0,0.0,2.0,Never,Rural,0
GHA1638,264.0,2.0,70.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,2.0,1.0,1.0,0.0,2.0,2.0,Never,Rural,0
GHA1639,264.0,2.0,27.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,Once/Twice,Rural,1
GHA1640,264.0,2.0,80.0,2.0,0.0,0.0,1.0,5.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,Several times,Rural,1
GHA1641,267.0,1.0,55.0,0.0,0.0,0.0,1.0,5.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,Never,Urban,0
GHA1642,267.0,1.0,52.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,2.0,Never,Urban,0
GHA1643,267.0,1.0,54.0,2.0,0.0,0.0,3.0,4.0,3.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,Several times,Urban,1
GHA1644,272.0,2.0,22.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,Never,Rural,0
GHA1645,266.0,2.0,25.0,0.0,0.0,0.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,Never,Rural,0
GHA1646,266.0,2.0,35.0,2.0,2.0,0.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,Several times,Rural,1
GHA1647,274.0,1.0,50.0,2.0,2.0,2.0,3.0,5.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,Several times,Urban,1
GHA1648,274.0,1.0,43.0,2.0,2.0,1.0,2.0,5.0,3.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,Several times,Urban,1
GHA1649,260.0,2.0,62.0,0.0,3.0,1.0,3.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,Never,Rural,0
GHA1650,272.0,2.0,19.0,0.0,0.0,0.0,3.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Never,Rural,0
GHA1651,272.0,2.0,46.0,0.0,0.0,2.0,3.0,5.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,2.0,Never,Rural,0
GHA1652,262.0,1.0,28.0,0.0,0.0,4.0,4.0,3.0,3.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,Never,Urban,0
GHA1653,266.0,2.0,25.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,Once/Twice,Rural,1
GHA1654,262.0,1.0,38.0,2.0,3.0,1.0,2.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,Several times,Urban,1
GHA1655,266.0,2.0,27.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,Never,Rural,0
GHA1656,260.0,1.0,20.0,0.0,0.0,0.0,1.0,6.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,Never,Urban,0
GHA1657,263.0,1.0,32.0,0.0,0.0,0.0,2.0,5.0,3.0,1.0,2.0,2.0,0.0,2.0,2.0,2.0,Never,Urban,0
GHA1658,264.0,2.0,43.0,0.0,2.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,0.0,0.0,2.0,Never,Rural,0
GHA1659,264.0,2.0,18.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,2.0,2.0,1.0,0.0,2.0,2.0,Never,Rural,0
GHA1660,267.0,1.0,21.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,Never,Urban,0
